Model,HUB Perplexity,HUB WER,Parameters
katz-bigram,393.6804195032253,0.07351984385165908,cutoff: 0
katz-bigram,393.6804195032253,0.07351984385165908,cutoff: 1
katz-bigram,393.6804195032253,0.07351984385165908,cutoff: 2
katz-bigram,393.6804195032253,0.07351984385165908,cutoff: 3
katz-bigram,393.6804195032253,0.07351984385165908,cutoff: 4
katz-bigram,393.6804195032253,0.07351984385165908,cutoff: 5
katz-bigram,393.6804195032253,0.07351984385165908,cutoff: 6
katz-bigram,393.6804195032253,0.07351984385165908,cutoff: 7
katz-bigram,393.6804195032253,0.07351984385165908,cutoff: 8
katz-bigram,393.6804195032253,0.07351984385165908,cutoff: 9
