Model,HUB Perplexity,HUB WER,Parameters
quadgram,484.26269012813736,0.06831489915419649,Lambda1: 0.35 Lambda2: 0.17 Lambda3: 0.3300000000000001
quadgram,487.3618499484431,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.17 Lambda3: 0.34000000000000014
quadgram,491.1788647910084,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.17 Lambda3: 0.35000000000000014
quadgram,495.8202082963483,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.17 Lambda3: 0.36000000000000015
quadgram,501.42485375666246,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.17 Lambda3: 0.37000000000000016
quadgram,508.17736156440066,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.17 Lambda3: 0.38000000000000017
quadgram,516.3283307927492,0.06506180871828236,Lambda1: 0.35 Lambda2: 0.17 Lambda3: 0.3900000000000002
quadgram,489.5072658901846,0.07156798959011061,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.2
quadgram,486.96462946705964,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.21000000000000002
quadgram,484.8305432649501,0.07091737150292778,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.22000000000000003
quadgram,483.0978590456516,0.07156798959011061,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.23000000000000004
quadgram,481.7639054665813,0.07156798959011061,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.24000000000000005
quadgram,480.8304819991674,0.07286922576447626,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.25000000000000006
quadgram,480.30401473526,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.26000000000000006
quadgram,480.1958873508229,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.2700000000000001
quadgram,480.52297465374033,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.2800000000000001
quadgram,481.3084240698331,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.2900000000000001
quadgram,482.5827549215957,0.06961613532856213,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.3000000000000001
quadgram,484.38538072128904,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.3100000000000001
quadgram,486.7667129021439,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.3200000000000001
quadgram,489.79108725550776,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.3300000000000001
quadgram,493.54088759028286,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.34000000000000014
quadgram,498.12246269383587,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.35000000000000014
quadgram,503.67481462430385,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.36000000000000015
